title,url
Allegedly Drunk-Driving Off-Duty Cop Kills Pedestrian And Injures Three Others In Williamsburg,http://gothamist.com/2016/07/16/off_duty_cop_crash_williamsburg.php
Is Williamsburg's Whole Foods A Grocery Store Or A Restaurant?,http://gothamist.com/2016/07/14/whole_foods_williamsburg.php
"Unhinged Driver Chases Cyclists In Brooklyn Bike Lane, NYPD Shrugs",http://gothamist.com/2016/07/12/brooklyn_road_rage_bike_lane.php
Watch Williamsburg's Wild Four Ton Giglio Tower Lift,http://gothamist.com/2016/07/12/giglio_lift_2016.php
Property Needed For Long-Delayed Bushwick Inlet Park Put Up For Auction,http://gothamist.com/2016/07/08/brodsky_bushwick_inlet_park.php
Cops Recover Black Camaro Involved In Fatal Williamsburg Hit-And-Run,http://gothamist.com/2016/07/07/camaro_hit_run_williamsburg.php
Cops Believe Fatal Hit-And-Run Driver Intentionally Struck Cyclist In Williamsburg,http://gothamist.com/2016/07/04/cops_believe_driver_intentionally_f.php
"Cyclist Killed By Hit-And-Run Driver In Williamsburg ""Lived & Breathed Cycling""",http://gothamist.com/2016/07/03/cyclist_killed_by_hit-and-run_drive.php
Hit-And-Run Driver Kills Cyclist In Williamsburg,http://gothamist.com/2016/07/02/brooklyn_cyclist_fatality.php
Here's What It Costs To Rent Along The L Line In Brooklyn These Days,http://gothamist.com/2016/06/28/l_train_rent_so_worth_it.php
Whole Foods Will Open In Williamsburg At The End Of July,http://gothamist.com/2016/06/27/whole_foods_williamsburg_1.php
Video: Freedom-Loving Truck Driver Commandeers Williamsburg Bike Lane,http://gothamist.com/2016/06/24/take_back_the_car_lane.php
"Video: Williamsburg Kosher Supermarket Fight Involved Hoverboard, Peach Projectile",http://gothamist.com/2016/06/16/williamsburg_peach_assault.php
Williamsburg Grocery Store Sues Developers Of New Whole Foods,http://gothamist.com/2016/06/15/williamsburg_whole_foods_lawsuit.php
City Offers $100 Million For Final Piece Of Bushwick Inlet Park,http://gothamist.com/2016/06/09/bushwick_inlet_park.php
Photos: An Immersive Ghostbusters Party Is Taking Over Williamsburg,http://gothamist.com/2016/06/09/ghostbusters_party_2016.php
Pacha's Old Owner Eddie Dean Is Trying To Buy Infamous Williamsburg Nightclub Verboten,http://gothamist.com/2016/06/09/pacha_in_williamsburg.php
Man Dies From Bullet Wound After Getting Dropped Off Outside Of Brooklyn Hospital,http://gothamist.com/2016/06/04/man_dies_from_bullet_wound_after_ge.php
"DOT: Chill, This $2.5 Billion Streetcar Plan Isn't A ""Mindblowing Idea""",http://gothamist.com/2016/06/02/streetcar_williamsburg_whatever.php
Former Columbia Student Who Started New Life In Williamsburg Explains Why She Went Missing,http://gothamist.com/2016/05/29/former_columbia_student_who_started.php
"Video: Driver Speeds Down Williamsburg Sidewalk, Hits 9-Year-Old Boy",http://gothamist.com/2016/05/27/sidewalk_driver_williamsburg.php
"Don Muang Airport, Located Inside Williamsburg Club Baby's All Right, Is A Total Disaster    ",http://gothamist.com/2016/05/17/don_muang_airport_quick_bites.php
City Investigating Chicken Pox Outbreak In Hasidic Williamsburg,http://gothamist.com/2016/05/17/chicken_pox_wiliamsburg.php
"Missing Columbia Student Found, Started New Life In Williamsburg",http://gothamist.com/2016/05/17/missing_columbia_student_in_brooklyn.php
Tiny Triangle Lot On Williamsburg-Greenpoint Border Becomes An Indie Radio Station & Coffee Kiosk,http://gothamist.com/2016/05/08/the_lot_radio_williamsburg.php
Man Arrested For Allegedly Attempting To Rape Woman In Williamsburg,http://gothamist.com/2016/05/07/man_arrested_for_allegedly_followin.php
