"neighborhood","url","ds","area","title.short"
"bay+ridge","www.dnainfo.com/new-york/20160108/sunset-park/keepers-of-cat-colony-sunset-park-waterfront-short-on-funds-for-winter","20160108","sunset-park","keepers of cat colony sunset park waterfront short on funds for winter"
"bay+ridge","www.dnainfo.com/new-york/20160107/cobble-hill/turn-your-christmas-tree-into-mulch-this-weekend-brooklyn","20160107","cobble-hill","turn your christmas tree into mulch this weekend brooklyn"
"bay+ridge","www.dnainfo.com/new-york/20160101/midtown/dnainfos-biggest-stories-of-2015","20160101","midtown","dnainfos biggest stories of 2015"
"bay+ridge","www.dnainfo.com/new-york/20151230/bath-beach/thief-runs-from-dunkin-after-robbery-nypd-says","20151230","bath-beach","thief runs from dunkin after robbery nypd says"
"bay+ridge","www.dnainfo.com/new-york/20151229/bay-ridge/here-are-our-favorite-data-visualizations-from-2015","20151229","bay-ridge","here are our favorite data visualizations from 2015"
"bay+ridge","www.dnainfo.com/new-york/20151222/bay-ridge/woman-dies-after-bay-ridge-apartment-fire-nypd-says","20151222","bay-ridge","woman dies after bay ridge apartment fire nypd says"
"bay+ridge","www.dnainfo.com/new-york/20151221/bay-ridge/sewer-gas-leak-causes-catholic-school-evacuation-fdny-says","20151221","bay-ridge","sewer gas leak causes catholic school evacuation fdny says"
"bay+ridge","www.dnainfo.com/new-york/20151217/columbia-street-waterfront-district/columbia-waterfront-park-awaits-funding-before-final-designs-determined","20151217","columbia-street-waterfront-district","columbia waterfront park awaits funding before final designs determined"
"bay+ridge","www.dnainfo.com/new-york/20151217/financial-district/flu-vaccine-no-longer-required-for-children-under-5-manhattan-judge-rules","20151217","financial-district","flu vaccine no longer required for children under 5 manhattan judge rules"
"bay+ridge","www.dnainfo.com/new-york/20151211/bay-ridge/menorah-knocked-down-happy-chanukkah-sign-stolen-bay-ridge","20151211","bay-ridge","menorah knocked down happy chanukkah sign stolen bay ridge"
"bay+ridge","www.dnainfo.com/new-york/20150922/upper-east-side/5-predictions-for-fall-real-estate-market","20150922","upper-east-side","5 predictions for fall real estate market"
"bay+ridge","www.dnainfo.com/new-york/20150907/borough-park/driver-fatal-borough-park-hit-and-run-turns-himself-police-say","20150907","borough-park","driver fatal borough park hit and run turns himself police say"
"bay+ridge","www.dnainfo.com/new-york/20150903/gravesend/family-of-murdered-nypd-detective-cuts-ribbon-on-newly-renovated-home","20150903","gravesend","family of murdered nypd detective cuts ribbon on newly renovated home"
"bay+ridge","www.dnainfo.com/new-york/20150831/port-richmond/bike-racks-coming-staten-island-buses-mta-says","20150831","port-richmond","bike racks coming staten island buses mta says"
"bay+ridge","www.dnainfo.com/new-york/20150821/red-hook/citywide-ferry-plan-will-not-integrate-with-mtas-metrocard-for-transfers","20150821","red-hook","citywide ferry plan will not integrate with mtas metrocard for transfers"
"bay+ridge","www.dnainfo.com/new-york/20150821/park-slope/9-ways-remember-battle-of-brooklyn","20150821","park-slope","9 ways remember battle of brooklyn"
"bay+ridge","www.dnainfo.com/new-york/20150821/bay-ridge/man-charged-with-killing-mother-of-his-child-drunk-driving-accident","20150821","bay-ridge","man charged with killing mother of his child drunk driving accident"
"bay+ridge","www.dnainfo.com/new-york/20150819/sunset-park/20-foot-brooklyn-sinkhole-close-streets-for-months","20150819","sunset-park","20 foot brooklyn sinkhole close streets for months"
"bay+ridge","www.dnainfo.com/new-york/20150813/crown-heights/whats-going-rent-for-2-bedroom-manhattan-brooklyn-queens","20150813","crown-heights","whats going rent for 2 bedroom manhattan brooklyn queens"
"bay+ridge","www.dnainfo.com/new-york/20150810/midtown/urban-astrologer-gives-tours-of-nyc-based-on-your-zodiac-sign","20150810","midtown","urban astrologer gives tours of nyc based on your zodiac sign"
"bay+ridge","www.dnainfo.com/new-york/20150611/prospect-lefferts-gardens/rents-for-studios-2-beds-prospect-lefferts-gardens-lowest-brooklyn","20150611","prospect-lefferts-gardens","rents for studios 2 beds prospect lefferts gardens lowest brooklyn"
"bay+ridge","www.dnainfo.com/new-york/20150514/dumbo/dumbo-studio-prices-jump-3200-month","20150514","dumbo","dumbo studio prices jump 3200 month"
"bay+ridge","www.dnainfo.com/new-york/20150504/new-dorp/special-election-between-gentile-donovan-be-held-tuesday","20150504","new-dorp","special election between gentile donovan be held tuesday"
"bay+ridge","www.dnainfo.com/new-york/20150424/midtown/15-subway-lines-slated-for-service-changes-this-weekend","20150424","midtown","15 subway lines slated for service changes this weekend"
"bay+ridge","www.dnainfo.com/new-york/20150422/bay-ridge/new-yorks-most-loud-sex-complaints-come-from-this-building-records-show","20150422","bay-ridge","new yorks most loud sex complaints come from this building records show"
"bay+ridge","www.dnainfo.com/new-york/20150417/bensonhurst/2-men-found-dead-on-lirr-tracks-nypd-says","20150417","bensonhurst","2 men found dead on lirr tracks nypd says"
"bay+ridge","www.dnainfo.com/new-york/20150416/inwood/map-where-can-average-new-yorker-afford-studio-apartment","20150416","inwood","map where can average new yorker afford studio apartment"
"bay+ridge","www.dnainfo.com/new-york/20150415/brooklyn-heights/more-than-1200-kindergarteners-shut-out-of-their-zoned-schools","20150415","brooklyn-heights","more than 1200 kindergarteners shut out of their zoned schools"
"bay+ridge","www.dnainfo.com/new-york/20150408/gravesend/foundation-begins-home-renovations-for-family-of-murdered-nypd-detective","20150408","gravesend","foundation begins home renovations for family of murdered nypd detective"
"bay+ridge","www.dnainfo.com/new-york/20150402/jamaica/fans-weep-as-chris-mullin-returns-queens-as-coach-of-st-johns","20150402","jamaica","fans weep as chris mullin returns queens as coach of st johns"
"bay+ridge","www.dnainfo.com/new-york/20150330/greenwich-village/de-blasios-affordable-housing-plan-comes-under-fire-at-hearing","20150330","greenwich-village","de blasios affordable housing plan comes under fire at hearing"
"bay+ridge","www.dnainfo.com/new-york/20150325/bay-ridge/cards-against-humanity-lovers-can-now-use-54-card-brooklyn-edition","20150325","bay-ridge","cards against humanity lovers can now use 54 card brooklyn edition"
"bay+ridge","www.dnainfo.com/new-york/20150205/red-hook/map-green-cabs-offer-little-service-red-hook-commuters","20150205","red-hook","map green cabs offer little service red hook commuters"
"bay+ridge","www.dnainfo.com/new-york/20150203/rockaway-beach/mayor-announce-new-ferry-routes-state-of-city-speech-sources","20150203","rockaway-beach","mayor announce new ferry routes state of city speech sources"
"bay+ridge","www.dnainfo.com/new-york/20150204/carroll-gardens/map-8-court-street-businesses-that-are-still-going-strong-after-decades","20150204","carroll-gardens","map 8 court street businesses that are still going strong after decades"
"bay+ridge","www.dnainfo.com/new-york/20150204/fort-greene/greene-grape-set-deliver-groceries-many-brooklyn-neighborhoods","20150204","fort-greene","greene grape set deliver groceries many brooklyn neighborhoods"
"bay+ridge","www.dnainfo.com/new-york/20150202/washington-heights/map-see-how-often-green-cabs-stop-your-neighborhood","20150202","washington-heights","map see how often green cabs stop your neighborhood"
"bay+ridge","www.dnainfo.com/new-york/20150130/astoria/pol-wants-build-eco-dock-connect-residents-astoria-waterfront","20150130","astoria","pol wants build eco dock connect residents astoria waterfront"
"bay+ridge","www.dnainfo.com/new-york/20150123/gravesend/team-brooklyn-takes-on-team-bronx-handball-rematch-saturday","20150123","gravesend","team brooklyn takes on team bronx handball rematch saturday"
"bay+ridge","www.dnainfo.com/new-york/20150107/civic-center/city-lift-cellphone-ban-public-schools-reports-say","20150107","civic-center","city lift cellphone ban public schools reports say"
"bay+ridge","www.dnainfo.com/new-york/20150104/dyker-heights/mourners-gather-for-funeral-of-slain-nypd-det-wenjian-liu","20150104","dyker-heights","mourners gather for funeral of slain nypd det wenjian liu"
"bay+ridge","www.dnainfo.com/new-york/20150103/dyker-heights/nypd-commissioner-asks-officers-be-respectful-as-city-mourns-wenjian-liu","20150103","dyker-heights","nypd commissioner asks officers be respectful as city mourns wenjian liu"
"bay+ridge","www.dnainfo.com/new-york/20141222/jackson-heights/amalgamated-bank-on-37th-avenue-will-close-april-officials-say","20141222","jackson-heights","amalgamated bank on 37th avenue will close april officials say"
"bay+ridge","www.dnainfo.com/new-york/20141111/gravesend/cyclists-would-be-banned-from-using-cellphones-under-new-legislation","20141111","gravesend","cyclists would be banned from using cellphones under new legislation"
"bay+ridge","www.dnainfo.com/new-york/20141105/bensonhurst/brooklyn-principal-takes-racist-dig-at-spanish-speakers-parents-say","20141105","bensonhurst","brooklyn principal takes racist dig at spanish speakers parents say"
"bay+ridge","www.dnainfo.com/new-york/20141014/park-slope/selective-middle-schools-change-their-admission-policies-confusing-parents","20141014","park-slope","selective middle schools change their admission policies confusing parents"
"bay+ridge","www.dnainfo.com/new-york/20141022/park-slope/crunchy-park-slope-among-neighborhoods-slow-adopt-composting","20141022","park-slope","crunchy park slope among neighborhoods slow adopt composting"
"bay+ridge","www.dnainfo.com/new-york/20141017/sunset-park/couple-killed-motorcycle-crash-after-falling-from-gowanus-expressway","20141017","sunset-park","couple killed motorcycle crash after falling from gowanus expressway"
"bay+ridge","www.dnainfo.com/new-york/20141017/dyker-heights/100-year-old-math-teacher-still-going-strong-at-brooklyn-elementary-school","20141017","dyker-heights","100 year old math teacher still going strong at brooklyn elementary school"
"bay+ridge","www.dnainfo.com/new-york/20141009/crown-heights/crown-heights-rents-up-105-percent-from-last-year-survey-found","20141009","crown-heights","crown heights rents up 105 percent from last year survey found"
"bay+ridge","www.dnainfo.com/new-york/20140926/civic-center/what-happened-new-york-this-week-8-stories-you-need-read","20140926","civic-center","what happened new york this week 8 stories you need read"
"bay+ridge","www.dnainfo.com/new-york/20140924/sunset-park/map-sunset-park-tops-city-graffiti-complaints-2014","20140924","sunset-park","map sunset park tops city graffiti complaints 2014"
"bay+ridge","www.dnainfo.com/new-york/20140905/midtown/service-changes-planned-for-14-subway-lines-this-weekend","20140905","midtown","service changes planned for 14 subway lines this weekend"
"bay+ridge","www.dnainfo.com/new-york/20140902/soho/hero-street-vendor-stabbed-by-wild-man-of-soho-get-award-at-vendys","20140902","soho","hero street vendor stabbed by wild man of soho get award at vendys"
"bay+ridge","www.dnainfo.com/new-york/20140701/upper-east-side/get-on-team-best-summer-leagues-city","20140701","upper-east-side","get on team best summer leagues city"
"bay+ridge","www.dnainfo.com/new-york/20140627/midtown-east/what-happened-new-york-this-week-8-stories-you-need-read","20140627","midtown-east","what happened new york this week 8 stories you need read"
"bay+ridge","www.dnainfo.com/new-york/20140623/sunset-park/doe-places-brooklyn-moms-3-sons-schools-3-different-neighborhoods","20140623","sunset-park","doe places brooklyn moms 3 sons schools 3 different neighborhoods"
"bay+ridge","www.dnainfo.com/new-york/20140605/bay-ridge/thousands-of-kids-rejected-as-pre-k-demand-exceeds-supply-of-seats","20140605","bay-ridge","thousands of kids rejected as pre k demand exceeds supply of seats"
"bay+ridge","www.dnainfo.com/new-york/20140530/prospect-heights/where-bike-brooklyn-this-weekend","20140530","prospect-heights","where bike brooklyn this weekend"
"bay+ridge","www.dnainfo.com/new-york/20140528/bay-ridge/former-marine-arrested-with-weapons-stolen-from-corps-police-say","20140528","bay-ridge","former marine arrested with weapons stolen from corps police say"
"bay+ridge","www.dnainfo.com/new-york/20140520/bay-ridge/man-fatally-stabs-wife-slashes-son-who-tried-stop-him-sources-say","20140520","bay-ridge","man fatally stabs wife slashes son who tried stop him sources say"
"bay+ridge","www.dnainfo.com/new-york/20140508/new-dorp-beach/teacup-yorkie-stolen-from-staten-island-yard-returned","20140508","new-dorp-beach","teacup yorkie stolen from staten island yard returned"
"bay+ridge","www.dnainfo.com/new-york/20140505/brooklyn-heights/dead-whale-beached-brooklyn-officials-say","20140505","brooklyn-heights","dead whale beached brooklyn officials say"
"bay+ridge","www.dnainfo.com/new-york/20140417/bay-ridge/is-bay-ridge-poised-become-new-williamsburg","20140417","bay-ridge","is bay ridge poised become new williamsburg"
"bay+ridge","www.dnainfo.com/new-york/20140414/astoria/pop-up-coffee-shop-coming-astoria-boutique-backyard","20140414","astoria","pop up coffee shop coming astoria boutique backyard"
"bay+ridge","www.dnainfo.com/new-york/20140212/civic-center/de-blasio-unveils-70-billion-preliminary-city-budget","20140212","civic-center","de blasio unveils 70 billion preliminary city budget"
"bay+ridge","www.dnainfo.com/new-york/20140203/lower-east-side/power-problem-disrupts-b-d-trains-mta-says","20140203","lower-east-side","power problem disrupts b d trains mta says"
"bay+ridge","www.dnainfo.com/new-york/20140123/fort-greene/giant-snow-rhino-horns-on-fort-greene","20140123","fort-greene","giant snow rhino horns on fort greene"
"bay+ridge","www.dnainfo.com/new-york/20140115/park-slope/gowanus-shuffleboard-club-open-taco-restaurant-coming","20140115","park-slope","gowanus shuffleboard club open taco restaurant coming"
"bay+ridge","www.dnainfo.com/new-york/20140113/bed-stuy/bed-stuy-streets-some-of-citys-dirtiest-report-says","20140113","bed-stuy","bed stuy streets some of citys dirtiest report says"
"bay+ridge","www.dnainfo.com/new-york/20140107/gramercy/city-eyes-10m-a-year-east-river-ferry-expansion","20140107","gramercy","city eyes 10m a year east river ferry expansion"
"bay+ridge","www.dnainfo.com/new-york/20140102/east-flatbush/architect-visiting-mothers-grave-crushed-by-falling-headstone","20140102","east-flatbush","architect visiting mothers grave crushed by falling headstone"
"bay+ridge","www.dnainfo.com/new-york/20131226/astoria/burger-bistro-opens-new-astoria-location-with-build-your-own-options","20131226","astoria","burger bistro opens new astoria location with build your own options"
"bay+ridge","www.dnainfo.com/new-york/20131219/dumbo/mac-n-cheese-cupcake-shops-closing-dumbo-mall","20131219","dumbo","mac n cheese cupcake shops closing dumbo mall"
"bay+ridge","www.dnainfo.com/new-york/20131218/bay-ridge/icy-roads-cause-massive-pile-up-on-gowanus-expressway-police-say","20131218","bay-ridge","icy roads cause massive pile up on gowanus expressway police say"
"bay+ridge","www.dnainfo.com/new-york/20131113/gowanus/proposed-bus-changes-favor-tourists-over-low-income-locals-advocates-say","20131113","gowanus","proposed bus changes favor tourists over low income locals advocates say"
